First name,Last name,Email,UTCTimeInvited,UTCTimeStartParticipation,Response status,Sex,Asian,Black/AA,Hispanic,White,Other,Age Bracket,Cracked,Dry,Oily,Red,Rough,Sensitive,Smooth,Tight,Acne,Blackheads,Dryness,Fine Lines,Hormonal or Cystic Acne,Hyperpigmentation,Oiliness,Roughness
,,,,07.19.2018 20:15:32,Incomplete,m,0,0,0,1,0,20s,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
,,,,07.19.2018 20:25:03,Incomplete,f,0,0,0,1,0,30s,1,5,4,3,2,2,2,1,5,4,5,5,4,3,3,1
,,,,07.19.2018 20:25:06,Incomplete,f,0,0,0,1,0,30s,1,1,5,3,2,1,3,1,1,6,1,7,1,7,6,1
,,,,07.19.2018 20:31:57,Incomplete,f,0,0,0,1,0,20s,1,5,3,4,2,5,5,5,2,1,5,5,3,6,2,5
,,,,07.19.2018 20:37:02,Incomplete,f,0,0,0,1,0,20s,2,5,3,5,4,7,4,3,7,5,5,5,7,7,5,5
,,,,07.19.2018 20:38:15,Incomplete,f,0,0,0,1,0,20s,8,6,6,7,6,1,4,1,3,3,7,7,2,2,3,7
,,,,07.19.2018 21:01:55,Incomplete,f,0,0,0,1,0,20s,3,7,1,4,3,4,5,3,1,6,7,6,1,1,1,3
,,,,07.19.2018 21:03:07,Incomplete,f,0,0,0,1,0,20s,1,4,5,4,1,5,3,3,6,2,2,2,5,7,4,1
,,,,07.19.2018 21:20:13,Incomplete,f,0,0,0,1,0,30s,1,1,7,5,4,6,4,1,4,5,1,7,5,5,7,5
,,,,07.19.2018 21:21:05,Incomplete,f,0,0,0,1,0,20s,1,4,4,5,6,6,3,2,7,4,4,5,7,7,4,5
,,,,07.19.2018 21:28:27,Incomplete,f,0,0,0,1,0,20s,1,4,5,2,1,2,6,1,5,5,3,7,4,1,7,1
,,,,07.19.2018 21:33:34,Incomplete,f,0,0,0,1,0,30s,1,4,4,2,3,1,5,1,1,3,3,5,1,5,3,3
,,,,07.19.2018 22:01:42,Incomplete,f,0,0,0,1,0,30s,1,4,5,2,2,3,6,1,1,1,1,7,1,7,5,1
,,,,07.19.2018 22:34:12,Incomplete,f,1,0,0,0,0,20s,1,3,3,2,5,5,2,4,7,7,5,4,7,7,3,3
,,,,07.20.2018 01:39:25,Incomplete,f,0,0,0,1,0,20s,1,5,3,1,2,3,6,5,7,1,5,5,7,5,4,2
,,,,07.20.2018 02:42:10,Incomplete,f,0,0,0,1,0,20s,8,5,3,4,4,3,3,8,2,1,3,5,7,3,5,4
,,,,07.20.2018 03:51:17,Incomplete,f,1,0,0,0,0,30s,1,5,4,3,6,6,2,6,6,4,4,3,6,7,4,5
,,,,07.20.2018 05:50:16,Incomplete,f,0,0,0,1,0,30s,1,6,2,5,3,5,4,4,3,2,7,7,6,5,2,5
,,,,07.20.2018 06:36:29,Incomplete,f,0,0,0,1,0,20s,1,1,5,4,5,4,2,1,5,6,2,5,1,1,5,5
,,,,07.20.2018 07:43:20,Incomplete,f,0,0,1,1,0,20s,1,3,4,3,2,2,3,2,4,3,2,4,5,4,4,5
,,,,07.20.2018 14:35:18,Incomplete,f,1,0,0,0,0,20s,1,5,3,5,2,1,6,3,4,6,4,8,5,8,2,1
,,,,07.20.2018 16:18:14,Incomplete,f,0,0,0,1,0,20s,1,4,6,5,4,5,4,2,5,5,4,2,6,2,5,2
,,,,07.20.2018 19:44:30,Incomplete,f,1,0,0,1,0,20s,1,3,5,2,1,4,3,2,7,6,5,1,1,1,5,3
,,,,07.20.2018 19:47:08,Incomplete,f,0,0,0,1,0,20s,1,3,5,3,2,1,4,1,2,2,5,6,2,1,2,1
,,,,,,f,0,0,0,1,0,20s,1,2,6,3,2,3,3,4,7,1,1,1,1,1,6,1
,,,,07.21.2018 00:14:25,Incomplete,f,0,0,0,1,0,20s,1,6,1,5,4,2,3,5,6,6,5,3,4,5,1,2
,,,,07.21.2018 05:30:02,Incomplete,f,0,0,0,1,0,30s,1,3,4,5,5,5,3,2,3,3,4,4,5,4,4,3
,,,,07.21.2018 19:25:18,Incomplete,f,0,0,0,1,0,20s,4,4,6,6,7,2,1,2,7,7,4,5,7,5,5,7
